EKOREGION;EKOREGION_Standar;S_EK
Pegunungan kerucut vulkanik lereng tengah bermaterial campuran batuan beku luar dan piroklastik;Pegunungan kerucut vulkanik lereng tengah bermaterial campuran batuan beku luar dan piroklastik;1.82
Pegunungan solusional karst bermaterial batuan sedimen karbonat;Pegunungan solusional karst bermaterial batuan sedimen karbonat;1.61
Pegunungan struktural lipatan bermaterial batuan metamorfik;Pegunungan struktural lipatan bermaterial batuan metamorfik;1.63
Pegunungan struktural lipatan bermaterial batuan sedimen karbonat;Pegunungan struktural lipatan bermaterial batuan sedimen karbonat;2.73
Pegunungan struktural lipatan bermaterial batuan sedimen non karbonat;Pegunungan struktural lipatan bermaterial batuan sedimen non karbonat;1.52
Pegunungan struktural lipatan bermaterial campuran batuan sedimen karbonat dan non karbonat;Pegunungan struktural lipatan bermaterial campuran batuan sedimen karbonat dan non karbonat;1.51
Pegunungan struktural patahan bermaterial batuan metamorfik;Pegunungan struktural patahan bermaterial batuan metamorfik;2.71
Pegunungan struktural plutonik bermaterial batuan beku dalam;Pegunungan struktural plutonik bermaterial batuan beku dalam;5
Pegunungan vulkanik bermaterial batuan beku luar;Pegunungan vulkanik bermaterial batuan beku luar;1.65
Pegunungan vulkanik bermaterial campuran batuan beku luar dan piroklastik;Pegunungan vulkanik bermaterial campuran batuan beku luar dan piroklastik;1.82
Pegunungan vulkanik bermaterial piroklastik;Pegunungan vulkanik bermaterial piroklastik;2.4
Pegunungan vulkanik lereng bawah bermaterial piroklastik;Pegunungan vulkanik lereng bawah bermaterial piroklastik;2.22
Perbukitan denudasional bermaterial batuan metamorfik;Perbukitan denudasional bermaterial batuan metamorfik;2.76
Perbukitan denudasional bermaterial batuan metamorfik (ultrabasa);Perbukitan denudasional bermaterial batuan metamorfik (ultrabasa);2.76
Perbukitan denudasional bermaterial batuan sedimen karbonat;Perbukitan denudasional bermaterial batuan sedimen karbonat;1.52
Perbukitan denudasional bermaterial batuan sedimen non karbonat;Perbukitan denudasional bermaterial batuan sedimen non karbonat;1.72
Perbukitan denudasional bermaterial campuran batuan beku luar dan piroklastik;Perbukitan denudasional bermaterial campuran batuan beku luar dan piroklastik;1.54
Perbukitan denudasional bermaterial campuran batuan sedimen karbonat dan non karbonat;Perbukitan denudasional bermaterial campuran batuan sedimen karbonat dan non karbonat;1.72
Perbukitan denudasional bermaterial piroklastik;Perbukitan denudasional bermaterial piroklastik;2.74
Perbukitan glasial bermaterial batuan sedimen karbonat;Perbukitan glasial bermaterial batuan sedimen karbonat;4.5
Perbukitan kerucut vulkanik bermaterial batuan beku luar;Perbukitan kerucut vulkanik bermaterial batuan beku luar;1.7
Perbukitan kerucut vulkanik bermaterial campuran batuan beku luar dan piroklastik;Perbukitan kerucut vulkanik bermaterial campuran batuan beku luar dan piroklastik;1.8
Perbukitan kerucut vulkanik bermaterial piroklastik;Perbukitan kerucut vulkanik bermaterial piroklastik;1
Perbukitan kerucut vulkanik parasiter bermaterial batuan beku luar;Perbukitan kerucut vulkanik parasiter bermaterial batuan beku luar;1.62
Perbukitan kerucut vulkanik parasiter bermaterial campuran batuan beku luar dan piroklastik;Perbukitan kerucut vulkanik parasiter bermaterial campuran batuan beku luar dan piroklastik;1.92
Perbukitan solusional karst bermaterial batuan sedimen karbonat;Perbukitan solusional karst bermaterial batuan sedimen karbonat;1.59
Perbukitan struktural lipatan bermaterial batuan metamorfik;Perbukitan struktural lipatan bermaterial batuan metamorfik;1.59
Perbukitan struktural lipatan bermaterial batuan sedimen karbonat;Perbukitan struktural lipatan bermaterial batuan sedimen karbonat;1.6
Perbukitan struktural lipatan bermaterial batuan sedimen non karbonat;Perbukitan struktural lipatan bermaterial batuan sedimen non karbonat;1.56
Perbukitan struktural lipatan bermaterial campuran batuan sedimen karbonat dan non karbonat;Perbukitan struktural lipatan bermaterial campuran batuan sedimen karbonat dan non karbonat;1.52
Perbukitan struktural patahan bermaterial batuan metamorfik;Perbukitan struktural patahan bermaterial batuan metamorfik;4.91
Perbukitan struktural plutonik bermaterial batuan beku dalam;Perbukitan struktural plutonik bermaterial batuan beku dalam;1.86
Perbukitan vulkanik bermaterial batuan beku luar;Perbukitan vulkanik bermaterial batuan beku luar;1.7
Perbukitan vulkanik bermaterial campuran batuan beku luar dan piroklastik;Perbukitan vulkanik bermaterial campuran batuan beku luar dan piroklastik;1.89
